STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/2/2019,0,78,,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/3/2019,0,81,87,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/4/2019,0,83,88,69
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/5/2019,0,84,90,65
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/6/2019,0,82,88,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/7/2019,0,80,89,68
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/8/2019,0,82,90,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/9/2019,0,83,89,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/10/2019,0,81,88,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/11/2019,0,85,90,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/12/2019,0,84,90,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/13/2019,0,82,87,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/14/2019,0,80,86,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/15/2019,0,81,,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/16/2019,0,82,89,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/17/2019,0,80,,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/19/2019,0,82,89,66
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/20/2019,0,80,,69
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/21/2019,0,82,90,69
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/22/2019,0,82,92,69
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/23/2019,0,82,92,69
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/24/2019,0,83,92,70
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/26/2019,0,87,94,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/27/2019,0,84,94,70
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/28/2019,0,82,91,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/29/2019,0,81,92,67
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/30/2019,0,85,,70
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,1/31/2019,0,84,92,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/1/2019,0,87,94,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/2/2019,0,87,93,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/3/2019,0,83,,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/4/2019,0,82,88,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/5/2019,0.02,82,89,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/6/2019,0,83,,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/7/2019,0,85,96,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/10/2019,2.51,84,93,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/11/2019,0,82,92,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/12/2019,0,82,,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/13/2019,0,85,91,77
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/14/2019,0,83,92,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/15/2019,0,87,94,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/17/2019,0.42,84,93,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/18/2019,0,86,94,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/20/2019,0,83,92,70
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/21/2019,0,81,,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/22/2019,0,88,93,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/23/2019,0,86,92,67
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/24/2019,0,83,,68
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/25/2019,0,85,96,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/26/2019,0,89,95,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/27/2019,0,85,94,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,2/28/2019,0,83,91,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/3/2019,0,88,96,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/4/2019,0,85,96,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/5/2019,0.11,85,,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/6/2019,0,86,95,77
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/7/2019,0,86,96,73
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/9/2019,0,88,96,74
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/10/2019,0.85,86,96,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/11/2019,0,87,94,72
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/12/2019,0,83,,69
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/13/2019,0,83,,70
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/14/2019,0,86,96,76
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/15/2019,0,90,98,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/17/2019,0.33,84,,75
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,3/18/2019,0,86,96,75
