,Current date,HCHO_value,Location
1460,2024-01-01,5.301348898798312e-05,Kandy
1461,2024-01-02,5.0072516784174865e-05,Kandy
1462,2024-01-03,5.3073912901613494e-05,Kandy
1463,2024-01-04,5.940331550674813e-05,Kandy
1464,2024-01-05,6.154689194898797e-05,Kandy
1465,2024-01-06,6.154689194898797e-05,Kandy
1466,2024-01-07,6.154689194898797e-05,Kandy
1467,2024-01-08,6.154689194898797e-05,Kandy
1468,2024-01-09,6.154689194898797e-05,Kandy
1469,2024-01-10,6.154689194898797e-05,Kandy
1470,2024-01-11,6.154689194898797e-05,Kandy
1471,2024-01-12,6.154689194898797e-05,Kandy
1472,2024-01-13,6.154689194898797e-05,Kandy
1473,2024-01-14,6.154689194898797e-05,Kandy
1474,2024-01-15,6.154689194898797e-05,Kandy
1475,2024-01-16,6.154689194898797e-05,Kandy
1476,2024-01-17,6.154689194898797e-05,Kandy
1477,2024-01-18,6.154689194898797e-05,Kandy
1478,2024-01-19,6.154689194898797e-05,Kandy
1479,2024-01-20,6.154689194898797e-05,Kandy
1480,2024-01-21,6.154689194898797e-05,Kandy
1481,2024-01-22,6.154689194898797e-05,Kandy
1482,2024-01-23,6.154689194898797e-05,Kandy
1483,2024-01-24,6.154689194898797e-05,Kandy
1484,2024-01-25,6.154689194898797e-05,Kandy
1485,2024-01-26,6.154689194898797e-05,Kandy
1486,2024-01-27,6.154689194898797e-05,Kandy
1487,2024-01-28,6.154689194898797e-05,Kandy
1488,2024-01-29,6.154689194898797e-05,Kandy
1489,2024-01-30,6.154689194898797e-05,Kandy
